Index,URL
145,https://www.redfin.com/MA/South-Boston/350-W-2nd-St-02127/unit-301/home/193152218
146,https://www.redfin.com/MA/West-Roxbury/5205-Washington-St-02132/unit-303/home/191090531
147,https://www.redfin.com/MA/Roslindale/69-Bradfield-Ave-02131/unit-1/home/9300527
148,https://www.redfin.com/MA/Dorchester/26-Newport-St-02125/unit-2/home/113614837
149,https://www.redfin.com/MA/South-Boston/125-B-St-02127/unit-2A/home/12547889
150,https://www.redfin.com/MA/Boston/150-Seaport-Blvd-02210/unit-5G/home/193149512
151,https://www.redfin.com/MA/Boston/330-Beacon-St-02116/unit-72/home/193149390
152,https://www.redfin.com/MA/Roxbury/2855-2859-Washington-St-02119/unit-8/home/9327041
153,https://www.redfin.com/MA/Charlestown/47-Harvard-St-02129/unit-PS104/home/193148951
154,https://www.redfin.com/MA/Charlestown/30-Harvard-St-02129/home/9057324
155,https://www.redfin.com/MA/Jamaica-Plain/3-Parley-Vale-02130/unit-2/home/9144183
156,https://www.redfin.com/MA/Dorchester/275-Gallivan-Blvd-02124/unit-2/home/11736886
157,https://www.redfin.com/MA/Jamaica-Plain/85-Child-St-02130/unit-2/home/9225314
158,https://www.redfin.com/MA/Boston/2-Clarendon-St-02116/unit-105/home/9232889
159,https://www.redfin.com/MA/Roxbury/257-Northampton-St-02118/unit-312/home/45407423
160,https://www.redfin.com/MA/Chestnut-Hill/2400-Beacon-St-02467/unit-211/home/12431179
161,https://www.redfin.com/MA/East-Boston/172-Cowper-St-02128/unit-2/home/193145921
162,https://www.redfin.com/MA/Boston/430-Stuart-St-02116/unit-1516/home/186065776
163,https://www.redfin.com/MA/Boston/41-Goldfinch-Ct-02126/unit-41/home/193144414
164,https://www.redfin.com/MA/Mattapan/4-Goldfinch-Ct-02126/unit-4/home/193144408
165,https://www.redfin.com/MA/Boston/85-Willow-Ct-02125/unit-201/home/148722285
166,https://www.redfin.com/MA/Brighton/59-Lanark-Rd-02135/unit-9/home/9004727
167,https://www.redfin.com/MA/Jamaica-Plain/47-Montebello-Rd-02130/unit-2/home/9299671
168,https://www.redfin.com/MA/Jamaica-Plain/120-Child-St-02130/unit-2/home/171787210
169,https://www.redfin.com/MA/Boston/783-Washington-St-02124/unit-1/home/192070633
170,https://www.redfin.com/MA/West-Roxbury/108-Woodley-Ave-02132/home/9221944
171,https://www.redfin.com/MA/Newton/75-Huntington-Rd-02458/home/11474239
172,https://www.redfin.com/MA/South-Boston/428-E-8th-St-02127/unit-1/home/9187497
173,https://www.redfin.com/MA/Boston/22-Gaylord-St-02124/unit-1/home/193117948
174,https://www.redfin.com/MA/East-Boston/268-Bremen-St-02128/unit-2/home/193117185
175,https://www.redfin.com/MA/West-Roxbury/46-Perham-St-02132/home/11508631
176,https://www.redfin.com/MA/Boston/132-Commonwealth-Ave-02116/home/145278131
177,https://www.redfin.com/MA/Boston/170-Tremont-St-02111/unit-702/home/9232252
178,https://www.redfin.com/MA/Boston/170-Tremont-St-02111/unit-1406/home/9232371
179,https://www.redfin.com/MA/South-Boston/667-E-7th-St-02127/unit-1/home/18982611
180,https://www.redfin.com/MA/Charlestown/22-Belmont-St-02129/home/9055284
181,https://www.redfin.com/MA/Boston/90-Havre-St-02128/unit-3/home/172267968
182,https://www.redfin.com/MA/Boston/23-Piedmont-St-02116/home/76617305
183,https://www.redfin.com/MA/Brighton/15-Commonwealth-Ct-02135/unit-14/home/9014625
184,https://www.redfin.com/MA/Brighton/8-Kilsyth-Ter-02135/unit-43/home/9024237
185,https://www.redfin.com/MA/South-Boston/765-E-Broadway-02127/unit-1/home/18982955
186,https://www.redfin.com/MA/West-Roxbury/375-Baker-St-02132/home/9215468
187,https://www.redfin.com/MA/Boston/135-Seaport-Blvd-02210/unit-1603/home/174973479
188,https://www.redfin.com/MA/Jamaica-Plain/143-171-Hyde-Park-Ave-02130/unit-155A/home/146050711
189,https://www.redfin.com/MA/Boston/1-Franklin-St-02110/unit-3504/home/145254602
190,https://www.redfin.com/MA/Boston/133-Seaport-Blvd-02210/unit-808/home/147045156
191,https://www.redfin.com/MA/Boston/425-Beacon-St-02115/unit-1/home/9238651
192,https://www.redfin.com/MA/Boston/381-Beacon-St-02116/home/9245126
193,https://www.redfin.com/MA/Boston/8-Garrison-St-02116/unit-104/home/9272796
194,https://www.redfin.com/MA/South-Boston/616-E-4th-St-02127/unit-205/home/52058904
195,https://www.redfin.com/MA/Dorchester/25-Rowell-St-02125/home/11834412
196,https://www.redfin.com/MA/Boston/1200-Washington-St-02118/home/53766616
197,https://www.redfin.com/MA/Dorchester/121-E-Cottage-St-02125/unit-7/home/17457457
198,https://www.redfin.com/MA/Roslindale/60-Seymour-St-02131/unit-1/home/146044523
199,https://www.redfin.com/MA/Dorchester/36-Mount-Ida-Rd-02122/unit-3/home/9063735
200,https://www.redfin.com/MA/West-Roxbury/129-Willow-St-02132/unit-1/home/187202514
201,https://www.redfin.com/MA/Charlestown/38-Allston-St-02129/home/9056221
202,https://www.redfin.com/MA/Roslindale/16-Mosgrove-Ave-02131/home/9176616
203,https://www.redfin.com/MA/Dorchester/4-Abbot-St-02124/home/9088388
204,https://www.redfin.com/MA/West-Roxbury/139-Westmoor-Rd-02132/home/9221847
205,https://www.redfin.com/MA/Boston/16-Whitford-St-02131/home/191446200
206,https://www.redfin.com/MA/Hyde-Park/1531-River-St-02136/unit-1531/home/193091995
207,https://www.redfin.com/MA/Allston/147-Kelton-St-02134/unit-710/home/8987361
208,https://www.redfin.com/MA/Jamaica-Plain/31-Plainfield-St-02130/unit-2/home/113747534
209,https://www.redfin.com/MA/Dorchester/37-Msgr-Patrick-J-Lydon-Way-02124/home/9089695
210,https://www.redfin.com/MA/Boston/1948-Washington-St-02118/unit-5F/home/184580152
211,https://www.redfin.com/MA/West-Roxbury/5205-Washington-St-02132/unit-304/home/193057743
212,https://www.redfin.com/MA/Boston/14-Robey-St-02119/unit-14/home/138370480
213,https://www.redfin.com/MA/Hyde-Park/60-A-Harvard-Ave-02136/unit-60A/home/193053949
214,https://www.redfin.com/MA/Dorchester/22-Vinson-St-02124/unit-3/home/12431501
215,https://www.redfin.com/MA/Boston/285-Columbus-Ave-02116/unit-407/home/12442928
216,https://www.redfin.com/MA/Boston/34-Garden-St-02114/unit-1/home/9315329
217,https://www.redfin.com/MA/Boston/4459-Washington-St-02131/unit-1/home/193046116
218,https://www.redfin.com/MA/Boston/33-Sleeper-St-02210/unit-606/home/9252893
219,https://www.redfin.com/MA/Boston/188-Brookline-Ave-02215/unit-27F/home/171787744
220,https://www.redfin.com/MA/Dorchester/132-King-St-02122/unit-1/home/12431897
221,https://www.redfin.com/MA/Boston/68-Orient-Ave-02128/unit-2/home/193045406
222,https://www.redfin.com/MA/Charlestown/18R-Polk-St-02129/home/193045295
223,https://www.redfin.com/MA/Boston/286-Cambridge-St-02114/unit-3/home/186204864
224,https://www.redfin.com/MA/Mission-Hill/222-224-Calumet-St-02120/home/190785830
225,https://www.redfin.com/MA/Roxbury/16-Milford-St-02118/home/9280868
226,https://www.redfin.com/MA/Boston/80-Broad-St-02110/unit-907/home/12439573
227,https://www.redfin.com/MA/Boston/22-Liberty-Dr-02210/unit-9M/home/114037279
228,https://www.redfin.com/MA/Roxbury/21-Marshfield-St-02119/home/9292267
229,https://www.redfin.com/MA/Roxbury/705-Massachusetts-Ave-02118/unit-8/home/9304878
230,https://www.redfin.com/MA/Boston/51-Malcolm-Unknown/home/193024221
231,https://www.redfin.com/MA/Roxbury/34-Dwight-St-02118/unit-2/home/85680576
